GEOID,sovi,rank,state_id
g06001,-2.4562978755855363,48.0,g06
g06003,-4.709126226507383,58.0,g06
g06005,0.5359477799221175,20.0,g06
g06007,-0.13466929889396761,26.0,g06
g06009,-3.1315418280304113,52.0,g06
g06011,5.311959412369449,3.0,g06
g06013,-3.2474738397074048,53.0,g06
g06015,2.8430158029446755,10.0,g06
g06017,-4.267482149568291,56.0,g06
g06019,1.698753363658857,16.0,g06
g06021,2.7412349745103826,11.0,g06
g06023,-1.670127567523282,44.0,g06
g06025,3.8443780895372277,6.0,g06
g06027,-0.6629368780438147,31.0,g06
g06029,2.4407951887031354,12.0,g06
g06031,5.500011464507812,1.0,g06
g06033,0.8243768051189534,19.0,g06
g06035,4.631619745304933,5.0,g06
g06037,0.2163884593243957,23.0,g06
g06039,3.831514200018564,7.0,g06
g06041,-1.4792090666045228,42.0,g06
g06043,-0.0885829940147469,25.0,g06
g06045,0.2989205025909206,22.0,g06
g06047,2.3938121674985595,13.0,g06
g06049,5.174921857341387,4.0,g06
g06051,-4.295685020893932,57.0,g06
g06053,3.2859791405432373,9.0,g06
g06055,1.73001636544807,15.0,g06
g06057,-2.7689761275560003,50.0,g06
g06059,-0.7841843406010515,32.0,g06
g06061,-4.0575738143395945,55.0,g06
g06063,-0.9346881085281364,34.0,g06
g06065,-1.7800025388490048,45.0,g06
g06067,-2.899573725867773,51.0,g06
g06069,-0.016249856447996258,24.0,g06
g06071,-2.584778782866628,49.0,g06
g06073,-1.565384204628245,43.0,g06
g06075,5.4252932472414095,2.0,g06
g06077,-0.7921730194358707,33.0,g06
g06079,-0.2619894691485392,29.0,g06
g06081,-1.278391896894199,40.0,g06
g06083,1.9975267758113586,14.0,g06
g06085,-1.2489458278497818,39.0,g06
g06087,-0.28041669987209694,30.0,g06
g06089,-1.075077894261138,36.0,g06
g06091,-1.9082226572190384,47.0,g06
g06093,-0.17318864869602602,27.0,g06
g06095,-3.711348404349991,54.0,g06
g06097,-1.1325307843784582,37.0,g06
g06099,0.49841460016201394,21.0,g06
g06101,0.8972840222962243,18.0,g06
g06103,1.2396848624374055,17.0,g06
