,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
QAGEDEP_ACS,,0.40095736711169405,0.7603771573629571,0.261589248434266,0.3502316845249088,0.7029524176881634,0.7900670077033578,0.7937514582781298,0.7628958406583003,0.7636159445555946,0.7596518209931276,0.7245283719586868,0.6953026625890291,0.7700852181234596,0.7328081902179412,0.7238636181364617,0.7659933932373186,0.7659611367755695,0.8018438527468073,0.745729357352696,0.6987691677550554,0.7878295138249155,0.7657240519183501,0.7989618732236102,0.7622094849137946,0.708985100460332,0.7219182351098776,0.7502094324152633
QFEMALE_ACS,-0.4493282350666788,,0.8152295094390323,-0.186778487457538,-0.4870547574411572,0.7019851259107251,0.7515340400252288,0.8373646969512106,0.7305209524276479,0.7701593908092044,0.7290787561284193,0.7777114828282794,0.8100450082146751,0.790154716984095,0.7934009497740424,0.8101294922424978,0.773660321344303,0.7856983667263511,0.7429672133644505,0.7329545743928798,0.8444625503230427,0.7476665051192024,0.7473458318937523,0.772200911094975,0.7420390097659036,0.7855318804698056,0.8026669355026044,0.7274234037446458
QSERV_ALT,0.7452271507472612,0.7486418740231888,,0.7274801829453705,0.645872251692558,0.4472252661922206,0.682439046037297,0.4676192765761033,0.5236156134509118,0.692877050332098,0.6315138081497207,0.47335180961001977,0.47990211351032486,0.49970374984127375,0.4546764075178671,0.29815545341889055,0.6765621833046476,0.45270060454884964,0.6692390095199265,0.6319171093584565,0.45274496650319973,0.6142305290140713,0.6660314263946681,0.5021151187528065,0.6926676762069426,0.4123684145183342,0.43983653748563395,0.643479006936409
QHISP_ACS,0.28112172302337396,0.35877812341223236,0.4710530231484355,,0.32695683819128946,0.596425095872703,0.7139166566105131,0.5182467794170207,0.5372841781222217,0.5612402327908094,0.5515384941260779,0.5061944587554208,0.49236306686952336,0.5068589177198929,0.5208289529753514,0.48070155519923347,0.578254279223469,0.5255371649203072,0.5580590099480472,0.5435694977138812,0.4996249764699414,0.54150729767789,0.5473363337518353,0.5283277183819253,0.5805087187109669,0.5052407120964886,0.49880945392676057,0.5605459579770572
QFEMLBR,0.0009579900901946353,0.15967628996307268,0.32015565791167744,0.43312190607328693,,0.3985924345177941,0.3593085630095389,0.42043515020478234,0.4166671159239516,0.5246407928790486,0.507540693222346,0.42569519763615904,0.4607607461125834,0.4387080137852057,0.4096135917557042,0.3464894910177391,0.5307573943431196,0.38837045736746856,0.5077061808598671,0.5020117258166552,0.45011457796603704,0.4905690042597067,0.5458978923658828,0.4339587336034254,0.5387703559030165,0.37604048420803754,0.413744046367572,0.48393125429512035
QNATAM_ACS,0.6130767659973119,0.618744993760394,0.5433914483302836,0.7279307899623102,0.40523440377818365,,0.4509788883295056,0.7016554420807228,0.5156846376545864,0.5136587197423239,0.4673680122761956,0.6683266556220292,0.6745721064847837,0.709472891648221,0.7111809597873828,0.6678518115467557,0.5159947201720265,0.671513040347405,0.49403570747501135,0.42987422061517555,0.6628485469513745,0.5024795115316305,0.5151942876600685,0.5742791641399624,0.4958288477084707,0.7164655184704989,0.6887102246521425,0.4568631900618134
QESL_ALT,0.2994269252806659,0.3574847597106689,0.456691838271558,-0.19252110791025834,0.34664784341342675,0.5326318375125746,,0.47243461306944085,0.4729834603031808,0.4828458198021663,0.4855191568557768,0.4757968062965263,0.4650169390287505,0.4772476681643335,0.48171338046619927,0.4656263994959656,0.4545103036023017,0.5125063611757669,0.4667405167432901,0.47498375787660274,0.4702421673406708,0.49470304136338084,0.4744067857340478,0.5402348751327605,0.49544408314051447,0.48515677133279134,0.4835704918519941,0.4762023078044302
QSSBEN,0.26336764092760284,0.28015180478554474,0.4105136307058073,0.25391298558725794,0.2418070154663734,0.43912262766130883,0.4108697541653296,,0.388797073552152,0.38601507363969023,0.43502762129297207,0.40257811238247165,0.4284088871388426,0.5001818858859008,0.4054444082760842,0.37943851113559296,0.3971393798616006,0.4117293006089333,0.46338764221727463,0.42596581467260064,0.37885320604256195,0.4212317712298618,0.4344009770949729,0.43134357593743,0.40567469107847365,0.4182330409910813,0.4147702947868847,0.39254558526570044
QNOAUTO_ALT,0.5837824632910843,0.5452304200199686,0.5265574890947825,0.5794542077545429,0.5258216650099382,0.2613906777655156,0.4155741140757255,0.5415248846579596,,0.40715271430483413,0.47889852340641104,0.5382187967965752,0.551008779042814,0.5414256632156226,0.5512435386591223,0.5220906560398726,0.30215952124125084,0.6039411305815936,0.37472334563658827,0.4408774732543807,0.5492589769442094,0.49160096547838217,0.4051446752168366,0.647949064021788,0.394905815168909,0.5578785342074749,0.5421487798677411,0.4218721701280006
QMOHO,-0.06756694002714139,-0.13777205953608174,-0.2505864807084055,-0.1326938368390173,-0.11984563798674129,-0.21682776411771557,-0.344324825574969,-0.17557384590373062,-0.3220911593085939,,-0.3142817635109705,-0.2636283824497898,-0.18463057751141126,-0.19124051417795204,-0.2369956545757842,-0.1986962547616423,-0.37296159549485897,-0.2914315209293931,-0.320202916802616,-0.3176682247611722,-0.26247533882022617,-0.3809702498391212,-0.4028119514264968,-0.3472752526580953,-0.38141363562492425,-0.20015484734566502,-0.22916460824491397,-0.3605163267404736
