,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,GEOID,CENSUSAREA_check,B01002_001E,B03002_001E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,B06001_002E,B09020_001E,B01003_001E,B25008_001E,B25002_002E,B25003_003E,B25002_001E,B09020_021E,B01001_026E,B11001_006E,B11001_001E,B25002_003E,B19025_001E,B23022_025E,B23022_049E,B23022_001E,B17021_002E,B17021_001E,B25024_010E,B25024_001E,C24010_038E,C24010_001E,B19055_002E,B19055_001E,B09002_002E,B09002_001E,B19001_017E,B06007_005E,B06007_008E,B06007_001E,B16010_002E,B16010_001E,C24050_002E,C24050_001E,C24050_029E,B08201_002E,B08201_001E,B25064_001E,B25077_001E,MEDAGE_ACS,BLACK_ACS,QNATAM_ACS,QASIAN_ACS,QHISP_ACS,QAGEDEP_ACS,QPUNIT_ACS,PRENTER_ACS,QNRRES_ACS,QFEMALE_ACS,QFHH_ACS,QUNOCCHU_ACS,QCVLUN,QPOVTY,QMOHO,QFEMLBR,QSSBEN,QFAM,QRICH200K,PERCAP_ALT,QESL_ALT,QED12LES_ALT,QEXTRCT_ALT,QSERV_ALT,QNOAUTO_ALT,MDGRENT_ALT,MHSEVAL_ALT,POPDENS,MHSEVAL_ALT_LAG
0,0500000US01029,01,029,Cleburne,County,560.1,01029,560.0,41.2,14905,573,30,0,313,947.0,2416,14905,14747,5518,1177,6706,52,7578,670,5518,1188,274973900,1219,1882,9334,2650,14740,1952,6706,2734,5868,2196,5518,2229,3132,76,124.0,0.0,13958.0,2622,10173,285,5868,931,352,5518,566,91300.0,41.2,0.03844347534384435,0.0020127474002012745,0.0,0.020999664542099967,0.2256289835625629,2.672526277636825,0.17551446465851475,0.0034887621603488764,0.508419993290842,0.12142080463936208,0.17715478675812704,0.3322262695521748,0.17978290366350066,0.2910826125857441,0.46591683708248127,0.3979702790866256,0.7116858237547893,0.013773106197897789,18646.090730318032,0.008883794239862445,0.25774107932763196,0.04856850715746421,0.15865712338104976,0.06379122870605292,566,91300.0,26.611319407248704,100212.5
1,0500000US01031,01,031,Coffee,County,678.972,01031,679.0,37.8,49966,8579,332,608,3070,3386.0,7271,49966,49279,19002,5550,22384,291,25290,2466,19002,3382,1124622600,3522,5776,31947,8438,49208,3288,22384,8998,19332,6492,19002,6869,10374,303,1161.0,428.0,46580.0,6092,33409,635,19332,3015,1270,19002,638,126400.0,37.8,0.17169675379257895,0.006644518272425249,0.012168274426610094,0.06144178041067926,0.21328503382299965,2.593358593832228,0.24794496068620442,0.00582396029299924,0.5061441780410679,0.12977581307230818,0.15109006433166547,0.29104454252355466,0.1714761827345147,0.1468906361686919,0.4654458928201945,0.3416482475528892,0.6621361095045306,0.015945689927376067,22821.53858641612,0.0341133533705453,0.18234607441108683,0.03284709290295883,0.15595903165735567,0.06683506999263235,638,126400.0,73.59066353251681,86760.0
2,0500000US01037,01,037,Coosa,County,650.926,01037,651.0,44.4,11305,3558,7,0,225,543.0,1931,11305,11006,4573,743,6466,32,5544,599,4573,1893,207413100,1075,1361,7395,2223,11006,2130,6466,1991,4354,1898,4573,1036,1767,7,62.0,10.0,10762.0,1974,8153,129,4354,722,213,4573,573,74500.0,44.4,0.3147279964617426,0.0006191950464396285,0.0,0.019902697921273773,0.21884122069880585,2.406735184780232,0.11490875347974018,0.002830605926581159,0.4904024767801858,0.1309862234856768,0.2927621404268481,0.32941176470588235,0.20198073777939307,0.3294154036498608,0.45728066146072577,0.415044828340258,0.5863044708545557,0.0015307238136890444,18845.45702344176,0.006690206281360342,0.24211946522752362,0.02962792834175471,0.16582452916858062,0.04657773890225235,573,74500.0,17.36756559117319,118200.0
3,0500000US01039,01,039,Covington,County,1030.456,01039,1030.0,42.5,37803,4744,203,116,516,2263.0,7123,37803,37267,14899,3779,18821,260,19478,2522,14899,3922,730595700,3023,4032,23355,7780,37253,3393,18821,7085,15087,6562,14899,4461,6870,194,244.0,110.0,35540.0,5936,26210,973,15087,2341,986,14899,560,86700.0,42.5,0.12549268576567998,0.005369944184323995,0.003068539533899426,0.013649710340449171,0.24828717297568975,2.5013088126719913,0.20078635566654268,0.0068777610242573345,0.5152501124249398,0.16927310557755554,0.2083842516338133,0.3020766431171055,0.20884224089335088,0.1802773497688752,0.4696095976668655,0.44043224377475,0.6493449781659388,0.013021008121350427,19604.360426114257,0.00996060776589758,0.2264784433422358,0.06449260953138464,0.15516669980778153,0.06617893818377073,560,86700.0,36.685700311318485,107650.0
4,0500000US01041,01,041,Crenshaw,County,608.84,01041,609.0,40.3,13971,3099,74,213,213,902.0,2227,13971,13796,5648,1589,6742,119,7162,788,5648,1094,288743600,1003,1474,8773,2544,13796,1971,6742,2652,5899,2285,5648,1680,2969,111,134.0,133.0,13069.0,2245,9477,487,5899,827,344,5648,488,70000.0,40.3,0.22181662014172213,0.005296685992412855,0.015245866437620785,0.015245866437620785,0.2239639252737814,2.4426345609065154,0.23568673983981014,0.008517643690501753,0.512633311860282,0.1395184135977337,0.16226638979531297,0.28234355408640144,0.18440127573209625,0.29234648472263425,0.4495677233429395,0.40456798866855526,0.5658470865611317,0.019652974504249292,20929.515801681646,0.020430025250593006,0.23688931096338503,0.08255636548567553,0.1401932530937447,0.060906515580736544,488,70000.0,22.94691544576572,96983.33333333333
5,0500000US01045,01,045,Dale,County,561.15,01045,561.0,36.0,50129,9491,155,654,2794,3643.0,6851,50129,48560,19609,7726,22700,254,25302,2637,19609,3091,1079476800,3059,5291,32349,7748,48486,4431,22700,9512,19859,6462,19609,7691,10968,240,678.0,330.0,46486.0,5218,33020,397,19859,3748,1069,19609,618,96100.0,36.0,0.1893315246663608,0.0030920225817391133,0.013046340441660515,0.05573620060244569,0.20933990305013067,2.4764138915803966,0.34035242290748896,0.005066927327495063,0.5047377765365357,0.13447906573512164,0.13616740088105728,0.2581223530866487,0.15979870478076147,0.19519823788546256,0.47897678634372326,0.32954255698913765,0.7012217359591539,0.012239277882604926,22229.752883031302,0.021683947855268254,0.15802543912780134,0.019990936099501484,0.18873055038018027,0.05451578356876944,618,96100.0,89.3326205114497,103083.33333333331
6,0500000US01049,01,049,DeKalb,County,777.093,01049,777.0,37.9,70949,1162,766,209,9544,4979.0,9964,70949,70004,25550,5932,30974,424,35975,2929,25550,5424,1236580400,5856,8585,44917,13701,70192,6794,30974,12763,27992,8866,25550,11178,15477,349,4084.0,86.0,65970.0,13811,46841,1104,27992,4520,1031,25550,517,89400.0,37.9,0.016377961634413452,0.010796487617866354,0.0029457779531776346,0.13451916165132702,0.2106160763365234,2.7398825831702545,0.19151546458319882,0.005976123694484771,0.5070543629931359,0.11463796477495107,0.17511461225544003,0.3215041075761961,0.1951931844084796,0.21934525731258475,0.4559517004858531,0.34700587084148726,0.7222329908897073,0.01365949119373777,17664.424890006285,0.06321055025011368,0.2948485301338571,0.03943983995427265,0.16147470705915976,0.04035225048923679,517,89400.0,91.30052644921523,100542.85714285714
7,0500000US01053,01,053,Escambia,County,945.08,01053,945.0,38.7,38122,12265,1418,138,730,2323.0,5768,38122,35232,13879,3823,16525,232,18436,2458,13879,2646,590795400,5809,5078,24769,8849,35527,3602,16525,5795,12587,5626,13879,3674,6993,96,90.0,1.0,35799.0,6508,26230,393,12587,2691,1044,13879,558,85300.0,38.7,0.32173023451025656,0.03719636955039085,0.0036199569802213946,0.01914904779392477,0.21223965164471958,2.538511420131133,0.2313464447806354,0.0060857247783432135,0.4836052672997219,0.1771020966928453,0.16012102874432677,0.4395413621866042,0.24907816590199003,0.21797276853252648,0.4603956463017399,0.4053606167591325,0.5253825253825254,0.006916924850493551,16768.715940054495,0.0025419704461018466,0.24811284788410218,0.031222690077063638,0.21379200762691666,0.07522155774911737,558,85300.0,40.33732594066111,128885.71428571428
8,0500000US01057,01,057,Fayette,County,627.66,01057,628.0,43.1,17219,1937,26,58,213,950.0,3135,17219,16875,7129,1759,8450,132,8746,934,7129,1321,313460600,1566,2172,10808,3232,16916,1772,8450,2953,6450,2954,7129,2313,3278,74,27.0,35.0,16269.0,2916,12046,469,6450,894,600,7129,456,72600.0,43.1,0.11249201463499622,0.0015099599279865266,0.003368372147046867,0.01237005633312039,0.23723793483942157,2.367092158788049,0.20816568047337278,0.007665950403623904,0.5079272896219292,0.13101416748492076,0.15633136094674557,0.34585492227979275,0.1910617167179002,0.20970414201183432,0.4578294573643411,0.4143638658998457,0.7056131787675411,0.01038013746668537,18575.442962962963,0.003810928760218821,0.2420720571143948,0.07271317829457365,0.1386046511627907,0.0841632767569084,456,72600.0,27.43364241786955,92940.0
9,0500000US01061,01,061,Geneva,County,574.408,01061,574.0,42.2,26769,2576,87,30,899,1549.0,4710,26769,26513,10985,3163,12670,136,13745,1706,10985,1685,501027800,1770,3130,16795,5266,26361,3107,12670,4829,11061,4473,10985,2978,5033,39,389.0,30.0,25220.0,4631,18737,793,11061,1606,541,10985,559,79400.0,42.2,0.09623071463259741,0.0032500280174829095,0.001120699316373417,0.0335836228473234,0.2338152340393739,2.4135639508420574,0.24964483030781373,0.005080503567559491,0.5134670701184205,0.15530268548020026,0.132991318074191,0.29175349806490025,0.19976480406661357,0.2452249408050513,0.4365789711599313,0.40719162494310424,0.5916948142261077,0.0035502958579881655,18897.43899219251,0.01661379857256146,0.24715802956716657,0.07169333694964289,0.14519482867733477,0.04924897587619481,559,79400.0,46.60276319271319,113783.33333333331
