,spearman_r_st_fema,pvalue_st_fema,spearman_r_st_us,pvalue_st_us
g23g33g25,0.9352720450281428,9.898190428751282e-19,0.7455909943714824,3.391701765903885e-08
g36,0.6069099242023621,1.7027050958168214e-07,0.7877162499055678,3.068728614797493e-14
g51,0.8961882317734636,1.9956798181488273e-48,0.6753475729123806,3.565129145158572e-19
g13,0.7969309768330548,3.396766984335312e-36,0.503328755672319,1.3610972716062094e-11
g17,0.3364923014288864,0.0005443363642003449,0.5044189741646924,6.464506159223198e-08
g48,0.6801871749291045,7.553754002386025e-36,0.6151050753624407,7.861542287875564e-28
g29,0.8167521502406692,9.383997583003553e-29,0.9026907598832163,3.412372672225124e-43
g46,0.8664857530529173,5.583510506298644e-21,0.6054274084124832,7.233125595181861e-08
g06,0.6909778830477715,1.9326813268593767e-09,0.5313297855978345,1.7758373415323516e-05
g16,0.8801973220577871,3.5187914116871343e-15,0.6613107822410148,1.0249557506703056e-06
