GEOID,sovi,rank,fema_region
g01001,-4.560287013862145,708.0,FEMA_4
g01003,-1.686689915987639,582.0,FEMA_4
g01005,1.7208733036082857,149.0,FEMA_4
g01007,-3.1166732782861013,670.0,FEMA_4
g01009,-2.3265708997770336,624.0,FEMA_4
g01011,0.34207357982071107,305.0,FEMA_4
g01013,1.5412760707288327,166.0,FEMA_4
g01015,-1.1747126600092814,516.0,FEMA_4
g01017,0.0760377527420934,349.0,FEMA_4
g01019,-0.09333683069504256,369.0,FEMA_4
g01021,-2.1989173751498687,618.0,FEMA_4
g01023,-1.4818417196254587,552.0,FEMA_4
g01025,-0.6890604102400245,450.0,FEMA_4
g01027,0.5498874384243165,279.0,FEMA_4
g01029,-1.6331897297582696,570.0,FEMA_4
g01031,-0.9532580895521041,483.0,FEMA_4
g01033,-1.6306498729604268,569.0,FEMA_4
g01035,0.6212895924412593,273.0,FEMA_4
g01037,-0.39480129378780754,406.0,FEMA_4
g01039,0.07070944879071736,350.0,FEMA_4
g01041,-0.36142045339706824,403.0,FEMA_4
g01043,-0.9767966286094426,490.0,FEMA_4
g01045,-0.42057027263621394,412.0,FEMA_4
g01047,0.8704849674006415,243.0,FEMA_4
g01049,0.3385310385425631,306.0,FEMA_4
g01051,-3.212181832592956,673.0,FEMA_4
g01053,2.784503864775551,82.0,FEMA_4
g01055,-0.4793101896451204,420.0,FEMA_4
g01057,-0.28594854494168465,391.0,FEMA_4
g01059,0.3869979231648172,300.0,FEMA_4
g01061,-0.5166486404652235,426.0,FEMA_4
g01063,1.442821409789385,178.0,FEMA_4
g01065,0.8573671007358266,246.0,FEMA_4
g01067,0.0695529244432177,351.0,FEMA_4
g01069,-1.3816163808059259,538.0,FEMA_4
g01071,-0.9753851961335438,489.0,FEMA_4
g01073,-1.8086083187198008,591.0,FEMA_4
g01075,-0.4391600689525726,414.0,FEMA_4
g01077,-0.6960366210150787,453.0,FEMA_4
g01079,-0.29490373644712964,393.0,FEMA_4
g01081,-3.092307419657096,667.0,FEMA_4
g01083,-2.7223775492034568,646.0,FEMA_4
g01085,-0.9062614189701462,481.0,FEMA_4
g01087,3.0720145551622804,68.0,FEMA_4
g01089,-3.8113731804593636,693.0,FEMA_4
g01091,0.18458178779429674,332.0,FEMA_4
g01093,0.4965714250102334,286.0,FEMA_4
g01095,-0.11511334323704733,372.0,FEMA_4
g01097,-1.5120730853122921,557.0,FEMA_4
g01099,0.4022445519533657,299.0,FEMA_4
g01101,-1.139513807310127,510.0,FEMA_4
g01103,-1.7212500799452557,586.0,FEMA_4
g01105,3.363820198128655,56.0,FEMA_4
g01107,0.14537489714222673,339.0,FEMA_4
g01109,0.33766055190404465,308.0,FEMA_4
g01111,0.0690460964080839,352.0,FEMA_4
g01113,0.6498014078029808,269.0,FEMA_4
g01115,-3.665926157873233,687.0,FEMA_4
g01117,-6.295277128644891,728.0,FEMA_4
g01119,3.4105380595590016,52.0,FEMA_4
g01121,-0.9026089316117749,480.0,FEMA_4
g01123,0.6800972281753787,264.0,FEMA_4
g01125,-2.3522249567192928,629.0,FEMA_4
g01127,-0.48661618989332756,422.0,FEMA_4
g01129,-0.37269318987377176,404.0,FEMA_4
g01131,0.8478800393659424,249.0,FEMA_4
g01133,0.4751535405846405,287.0,FEMA_4
g02013,,,
g02016,,,
g02020,,,
g02050,,,
g02060,,,
g02068,,,
g02070,,,
g02090,,,
g02100,,,
g02105,,,
g02110,,,
g02122,,,
g02130,,,
g02150,,,
g02164,,,
g02170,,,
g02180,,,
g02185,,,
g02188,,,
g02195,,,
g02198,,,
g02220,,,
g02230,,,
g02240,,,
g02261,,,
g02270,,,
g02275,,,
g02282,,,
g02290,,,
g04001,9.371917709283379,1.0,FEMA_9
g04003,0.4457582103375706,40.0,FEMA_9
g04005,-0.5026438811333209,50.0,FEMA_9
g04007,5.275461778203924,3.0,FEMA_9
g04009,0.4507708797662797,39.0,FEMA_9
g04011,-4.603472342637206,86.0,FEMA_9
g04012,4.1007297856655915,7.0,FEMA_9
g04013,-2.2215266695477434,77.0,FEMA_9
g04015,2.0642340333248357,14.0,FEMA_9
g04017,4.898057019143679,4.0,FEMA_9
g04019,0.04935546938813695,46.0,FEMA_9
g04021,-1.3658149467691387,65.0,FEMA_9
g04023,3.604386941862863,9.0,FEMA_9
g04025,0.9605921896578755,28.0,FEMA_9
