GEOID,sovi,rank,fema_region
g01001,-1.1442773212167432,514.0,FEMA_4
g01003,-0.2621313871855739,388.0,FEMA_4
g01005,0.22500049429707092,323.0,FEMA_4
g01007,-0.2728759633897894,392.0,FEMA_4
g01009,-0.1416515203222582,375.0,FEMA_4
g01011,0.018612176420542026,353.0,FEMA_4
g01013,0.059639780973158835,351.0,FEMA_4
g01015,-1.1747126600092819,520.0,FEMA_4
g01017,0.07603775274209085,347.0,FEMA_4
g01019,-0.09333683069503651,369.0,FEMA_4
g01021,-2.1989173751498674,621.0,FEMA_4
g01023,-1.4818417196254543,556.0,FEMA_4
g01025,-0.6890604102400272,453.0,FEMA_4
g01027,0.5498874384243215,277.0,FEMA_4
g01029,-1.6331897297582694,574.0,FEMA_4
g01031,-0.9532580895521024,486.0,FEMA_4
g01033,-1.6306498729604246,573.0,FEMA_4
g01035,0.6212895924412547,271.0,FEMA_4
g01037,-0.39480129378781154,409.0,FEMA_4
g01039,0.07070944879071928,348.0,FEMA_4
g01041,-0.36142045339705947,406.0,FEMA_4
g01043,-0.9767966286094403,493.0,FEMA_4
g01045,-0.42057027263621627,415.0,FEMA_4
g01047,0.8704849674006372,241.0,FEMA_4
g01049,0.338531038542564,303.0,FEMA_4
g01051,-3.212181832592959,674.0,FEMA_4
g01053,2.784503864775553,82.0,FEMA_4
g01055,-0.4793101896451222,423.0,FEMA_4
g01057,-0.2859485449416771,394.0,FEMA_4
g01059,0.3869979231648216,298.0,FEMA_4
g01061,-0.5166486404652211,429.0,FEMA_4
g01063,1.4428214097893752,176.0,FEMA_4
g01065,0.8573671007358273,244.0,FEMA_4
g01067,0.06955292444321795,349.0,FEMA_4
g01069,-1.3816163808059276,542.0,FEMA_4
g01071,-0.975385196133539,492.0,FEMA_4
g01073,-1.8086083187197994,594.0,FEMA_4
g01075,-0.4391600689525691,417.0,FEMA_4
g01077,-0.6960366210150772,456.0,FEMA_4
g01079,-0.2949037364471212,396.0,FEMA_4
g01081,-3.0923074196570925,669.0,FEMA_4
g01083,-2.722377549203453,648.0,FEMA_4
g01085,-0.9062614189701533,484.0,FEMA_4
g01087,3.072014555162271,68.0,FEMA_4
g01089,-3.8113731804593556,694.0,FEMA_4
g01091,0.18458178779429357,330.0,FEMA_4
g01093,0.4965714250102374,284.0,FEMA_4
g01095,-0.11511334323704482,372.0,FEMA_4
g01097,-1.5120730853122923,561.0,FEMA_4
g01099,0.40224455195336517,297.0,FEMA_4
g01101,-1.1395138073101303,513.0,FEMA_4
g01103,-1.7212500799452535,589.0,FEMA_4
g01105,3.363820198128649,56.0,FEMA_4
g01107,0.14537489714222906,337.0,FEMA_4
g01109,0.3376605519040429,305.0,FEMA_4
g01111,0.06904609640808523,350.0,FEMA_4
g01113,0.6498014078029701,267.0,FEMA_4
g01115,-3.6659261578732325,688.0,FEMA_4
g01117,-6.295277128644884,728.0,FEMA_4
g01119,3.410538059558987,52.0,FEMA_4
g01121,-0.9026089316117762,483.0,FEMA_4
g01123,0.6800972281753768,262.0,FEMA_4
g01125,-2.352224956719294,631.0,FEMA_4
g01127,-0.4866161898933259,425.0,FEMA_4
g01129,-0.372693189873754,407.0,FEMA_4
g01131,0.8478800393659351,247.0,FEMA_4
g01133,0.4751535405846464,285.0,FEMA_4
g02013,,,
g02016,,,
g02020,,,
g02050,,,
g02060,,,
g02068,,,
g02070,,,
g02090,,,
g02100,,,
g02105,,,
g02110,,,
g02122,,,
g02130,,,
g02150,,,
g02164,,,
g02170,,,
g02180,,,
g02185,,,
g02188,,,
g02195,,,
g02198,,,
g02220,,,
g02230,,,
g02240,,,
g02261,,,
g02270,,,
g02275,,,
g02282,,,
g02290,,,
g04001,2.0473054771586447,12.0,FEMA_9
g04003,0.07359332327276484,44.0,FEMA_9
g04005,-0.05687212315227233,47.0,FEMA_9
g04007,0.5491672931197804,35.0,FEMA_9
g04009,0.04322843938496686,46.0,FEMA_9
g04011,-0.35492804088621055,50.0,FEMA_9
g04012,0.22817527151284248,41.0,FEMA_9
g04013,-2.221526669547745,78.0,FEMA_9
g04015,2.064234033324838,11.0,FEMA_9
g04017,4.898057019143678,2.0,FEMA_9
g04019,0.049355469388134954,45.0,FEMA_9
g04021,-1.365814946769136,66.0,FEMA_9
g04023,3.6043869418628702,6.0,FEMA_9
g04025,0.9605921896578731,26.0,FEMA_9
g04027,2.3918211240135427,9.0,FEMA_9
g05001,-0.10432814714223222,271.0,FEMA_6
g05003,-0.18558586142732866,276.0,FEMA_6
g05005,0.5160034675750809,202.0,FEMA_6
g05007,-0.1834496988049567,275.0,FEMA_6
g05009,0.06414315846877383,252.0,FEMA_6
