GEOID,sovi,rank
g01001,-3.3779031906023134,2836.0
g01003,-1.1810557925929093,2189.0
g01005,-0.024258459412830113,1585.0
g01007,-4.41806652362168,2970.0
g01009,-1.9186044196385597,2465.0
g01011,-2.459483203602129,2614.0
g01013,3.5948674517559467,245.0
g01015,-0.1101302471921668,1642.0
g01017,1.7448054355928118,699.0
g01019,-1.6677680778772723,2382.0
g01021,-2.425745131203333,2604.0
g01023,-0.6476378565188172,1938.0
g01025,1.0580685734702833,1003.0
g01027,0.1096613457556126,1519.0
g01029,-0.6201701125321173,1929.0
g01031,-0.8125615728165674,2020.0
g01033,-0.5515466150469812,1894.0
g01035,2.41374978019811,453.0
g01037,-1.2267754322199589,2218.0
g01039,1.5363962515486345,796.0
g01041,-0.45182826807937415,1850.0
g01043,-0.8001125881234519,2013.0
g01045,-0.6794325806432315,1952.0
g01047,3.5505298338416678,251.0
g01049,0.07281529508746853,1541.0
g01051,-2.62342245191169,2663.0
g01053,0.5585961113023967,1270.0
g01055,0.6324304630642114,1226.0
g01057,0.11723962861916282,1517.0
g01059,-0.05074763530772919,1606.0
g01061,0.09424704542059148,1527.0
g01063,3.078826003588091,318.0
g01065,1.83043564219019,658.0
g01067,0.5584838959425965,1271.0
g01069,-0.06349772495092776,1616.0
g01071,-1.3865409081595608,2277.0
g01073,-0.4405473437407478,1840.0
g01075,0.6112681156568385,1236.0
g01077,0.23352626002989824,1451.0
g01079,-1.2413770280979277,2225.0
g01081,-4.06275081082009,2943.0
g01083,-3.2162237456332443,2803.0
g01085,1.7903746142212786,681.0
g01087,4.432082769906459,152.0
g01089,-3.6816656811527997,2886.0
g01091,1.8219499754294348,661.0
g01093,0.786575062975474,1145.0
g01095,-0.07687388763231606,1621.0
g01097,-0.40418434812225046,1821.0
g01099,0.9824660051890806,1039.0
g01101,0.27958619341234225,1429.0
g01103,-1.192818022041077,2199.0
g01105,5.496695527733731,101.0
g01107,1.7578446335248836,694.0
g01109,0.4351565850887511,1347.0
g01111,0.5058509104736104,1304.0
g01113,1.854356495247886,647.0
g01115,-3.6702469790932977,2883.0
g01117,-5.741074249102711,3065.0
g01119,6.025837851995885,85.0
g01121,-0.3612495691446129,1796.0
g01123,1.6704679752320586,734.0
g01125,-1.7286481493251804,2402.0
g01127,0.13126949210014005,1501.0
g01129,-3.3896808402608922,2841.0
g01131,3.25779076212853,295.0
g01133,0.30185495919743044,1419.0
g02013,-10.16736741783612,3140.0
g02016,-8.519325753309767,3133.0
g02020,-4.7626915844977065,3005.0
g02050,9.828533379470047,17.0
g02060,-3.516493018094801,2857.0
g02068,-4.407895266110309,2968.0
g02070,7.0171278209585655,55.0
g02090,-5.953313212233529,3081.0
g02100,-4.4029062713219576,2967.0
g02105,2.6699082452893803,403.0
g02110,-5.418295023601938,3050.0
g02122,-3.2955512872248374,2818.0
g02130,-2.962425917021265,2743.0
g02150,-3.641482369722283,2876.0
g02164,9.441223292229594,20.0
g02170,-5.585675170977427,3058.0
g02180,8.132584294704134,38.0
g02185,-0.19466557720673272,1691.0
g02188,8.68296041296699,32.0
g02195,-3.275660921785149,2813.0
g02198,-1.5197619653399057,2332.0
g02220,-1.7292874249604178,2403.0
g02230,-4.86136953688801,3010.0
g02240,-4.071081964629054,2945.0
g02261,-4.844715486369962,3009.0
g02270,13.769675511912624,4.0
g02275,2.2776673573905093,495.0
g02282,-4.651456887214305,2996.0
g02290,8.324500964538577,35.0
g04001,10.039613152540355,15.0
g04003,2.5179709223091757,434.0
g04005,1.1961328062870253,936.0
g04007,5.826606024913795,90.0
g04009,0.1877700938615705,1472.0
g04011,-1.232994657236385,2222.0
g04012,7.371487558076353,51.0
g04013,-0.4465329093397359,1845.0
g04015,3.513858407228853,255.0
g04017,5.84650784065674,89.0
g04019,2.2473815793804404,508.0
g04021,-0.5640677233024103,1899.0
g04023,7.551625744379139,49.0
g04025,2.841472534884044,363.0
g04027,4.732446263690209,133.0
g05001,0.5084128027241651,1300.0
g05003,-0.4359167732186461,1836.0
g05005,4.698193714762972,135.0
g05007,-2.16966762158627,2542.0
g05009,0.8854670669717976,1088.0
g05011,2.042583065111054,576.0
g05013,-2.535315275352778,2634.0
g05015,1.797982651866027,678.0
g05017,5.067362560718528,124.0
g05019,2.641650000630112,408.0
g05021,0.6767482144831385,1203.0
g05023,1.7680326013993526,689.0
g05025,-1.7105115929502015,2393.0
g05027,1.859280518327189,646.0
g05029,0.4275261805664452,1349.0
g05031,-0.5999248572570257,1914.0
g05033,-0.26584074557607107,1737.0
g05035,1.1897458805054095,941.0
g05037,0.6598061191818453,1217.0
g05039,0.382073210032994,1377.0
g05041,3.2411582088620894,298.0
g05043,0.7394850670144748,1171.0
g05045,-3.2258551914839946,2806.0
g05047,1.3528543276364573,870.0
g05049,3.9951823870602925,194.0
g05051,2.071110506068442,561.0
g05053,-3.1330984374374204,2787.0
g05055,-0.8669090935440656,2048.0
g05057,2.327095192473421,483.0
g05059,-0.5126614192011717,1877.0
g05061,3.1764814042123093,306.0
g05063,0.6766182905079563,1204.0
g05065,1.9339684602312321,620.0
g05067,1.6550643140723258,738.0
g05069,1.4850507352971927,815.0
g05071,-0.0856095600057839,1625.0
g05073,3.863735366746236,210.0
g05075,2.838824825118368,364.0
g05077,3.2137565375420856,301.0
g05079,-3.851137904328019,2917.0
g05081,0.8307817188817831,1125.0
g05083,0.6981790609526282,1193.0
g05085,-2.3874265688294867,2595.0
g05087,-0.403953553234599,1820.0
g05089,3.1922441319349604,303.0
g05091,-0.258215641913224,1728.0
g05093,0.7552599044330957,1162.0
g05095,4.034196221834331,188.0
g05097,1.9581185590877168,606.0
g05099,1.3934492504335942,858.0
g05101,-0.028752312607232655,1589.0
g05103,2.030624622964762,580.0
g05105,-1.2499050922801644,2232.0
g05107,6.092481652912083,81.0
g05109,0.5105445421753294,1299.0
g05111,2.2301301002906087,512.0
g05113,1.422940475577819,839.0
g05115,-0.8498912938747558,2041.0
g05117,1.716005449033284,711.0
g05119,-0.6089281625111997,1919.0
g05121,1.598749659880426,761.0
g05123,1.2005970220012305,932.0
g05125,-2.9621978705757286,2742.0
g05127,0.37157198112877476,1381.0
g05129,4.6463818216723505,141.0
g05131,0.26923351402558227,1434.0
g05133,2.7581376111065126,383.0
g05135,3.0656340771197814,320.0
g05137,2.9140730174079703,340.0
g05139,0.5872515408059529,1250.0
g05141,2.306738086122323,488.0
g05143,-1.2874430971553041,2246.0
g05145,-1.1355516114803954,2168.0
g05147,3.877664569926114,207.0
g05149,2.067681123240563,562.0
g06001,-2.9595449881556366,2741.0
g06003,-0.4355277562755573,1835.0
g06005,-0.6020998590778079,1915.0
g06007,1.0669253950541933,1002.0
g06009,-0.4999960094478193,1865.0
g06011,2.606855607356078,416.0
g06013,-3.3001495306579525,2819.0
g06015,1.7578923862214424,693.0
g06017,-3.1877137068890655,2799.0
g06019,2.678165171499687,401.0
g06021,1.63166536461581,752.0
g06023,-0.10102813386068754,1633.0
g06025,6.74907925165631,60.0
g06027,1.9607504103036422,603.0
g06029,1.2236724322472967,921.0
g06031,-0.15640808939867323,1671.0
g06033,2.373740843919454,466.0
g06035,-5.129086127289613,3030.0
g06037,1.1904587424363624,940.0
g06039,2.8381611658139163,365.0
g06041,-5.618714396082028,3059.0
g06043,1.4502685556754566,826.0
g06045,2.0558470408899248,569.0
g06047,2.8913250167246973,350.0
g06049,3.8366068575610406,220.0
g06051,-1.3431590469493475,2266.0
g06053,1.8091621494139072,670.0
g06055,-0.8677650941345683,2049.0
g06057,-1.1954661027996627,2203.0
g06059,-2.875304524409568,2724.0
g06061,-3.2256738484124896,2805.0
g06063,1.6969325672299165,726.0
g06065,0.33547248655189565,1402.0
g06067,-0.014534376645999547,1582.0
g06069,-0.26392109235061145,1735.0
g06071,0.3417641408086809,1398.0
g06073,-1.749834860938638,2409.0
g06075,-1.3941494171449422,2280.0
g06077,0.5484217379466508,1278.0
g06079,-2.03513873448445,2502.0
g06081,-4.431155276470132,2973.0
g06083,0.15324640143766355,1490.0
g06085,-6.158144123464418,3092.0
g06087,-2.471534930077789,2620.0
g06089,0.7182252713468429,1181.0
g06091,3.084757889633093,317.0
g06093,2.3096507470031398,485.0
g06095,-1.7219972913217716,2398.0
g06097,-1.1232793773982965,2163.0
g06099,1.1988447260208606,933.0
g06101,1.0753869916931578,997.0
g06103,1.9804300283511995,596.0
g06105,1.8181022161542293,663.0
g06107,3.4734541157125367,263.0
g06109,0.8518973329812176,1110.0
g06111,-2.483310904381272,2623.0
g06113,-1.4586503992483757,2308.0
g06115,0.3671369653236197,1385.0
g08001,-1.3318571043961533,2263.0
g08003,0.5072601439768567,1302.0
g08005,-2.8216065094599476,2714.0
g08007,-1.9431020340170744,2471.0
g08009,3.644658783579886,237.0
g08011,-1.3367258426898176,2264.0
g08013,-5.747991819529851,3067.0
g08014,-6.617746097519165,3107.0
g08015,-2.084905026731069,2517.0
g08017,0.07698189539208877,1538.0
g08019,-5.759062137182477,3069.0
g08021,3.458533825559601,265.0
g08023,5.6856924177733905,94.0
g08025,-6.478663465867486,3102.0
g08027,-1.9930418381594304,2485.0
g08029,-0.036880155891112376,1596.0
g08031,-0.10301395139780145,1635.0
g08033,-2.2905739886999776,2568.0
g08035,-9.485154286113382,3139.0
g08037,-4.670168168674758,2997.0
g08039,-7.2034182097776736,3118.0
g08041,-3.0015121436464813,2754.0
g08043,-0.43323947484606967,1834.0
g08045,-3.794430001173483,2907.0
g08047,-5.141449349887839,3032.0
