GEOID,sovi,rank
g01001,-0.5995586580221377,1918.0
g01003,-0.19149426039340367,1691.0
g01005,-0.0031130335673605625,1580.0
g01007,-0.3991473339066556,1819.0
g01009,-0.12459841289962582,1650.0
g01011,-0.13646463902060058,1659.0
g01013,0.19835776895357804,1465.0
g01015,-0.005765619787929086,1581.0
g01017,1.7448054355928115,698.0
g01019,-1.6677680778772728,2386.0
g01021,-2.425745131203332,2607.0
g01023,-0.6476378565188132,1943.0
g01025,1.058068573470288,1002.0
g01027,0.10966134575561282,1519.0
g01029,-0.6201701125321155,1934.0
g01031,-0.8125615728165678,2025.0
g01033,-0.5515466150469822,1898.0
g01035,2.4137497801981165,452.0
g01037,-1.2267754322199567,2222.0
g01039,1.5363962515486362,795.0
g01041,-0.4518282680793735,1854.0
g01043,-0.8001125881234513,2018.0
g01045,-0.679432580643234,1957.0
g01047,3.550529833841671,250.0
g01049,0.07281529508747209,1541.0
g01051,-2.6234224519116887,2665.0
g01053,0.5585961113023985,1269.0
g01055,0.6324304630642118,1225.0
g01057,0.11723962861916393,1517.0
g01059,-0.050747635307728745,1607.0
g01061,0.09424704542059126,1527.0
g01063,3.0788260035880985,317.0
g01065,1.8304356421901948,657.0
g01067,0.5584838959425967,1270.0
g01069,-0.06349772495092787,1617.0
g01071,-1.3865409081595599,2281.0
g01073,-0.44054734374074944,1844.0
g01075,0.6112681156568387,1235.0
g01077,0.23352626002989685,1450.0
g01079,-1.241377028097926,2229.0
g01081,-4.062750810820092,2944.0
g01083,-3.2162237456332443,2805.0
g01085,1.790374614221283,680.0
g01087,4.432082769906459,152.0
g01089,-3.681665681152802,2887.0
g01091,1.821949975429436,660.0
g01093,0.7865750629754729,1144.0
g01095,-0.07687388763231495,1622.0
g01097,-0.40418434812225057,1825.0
g01099,0.9824660051890841,1038.0
g01101,0.27958619341234203,1428.0
g01103,-1.1928180220410778,2203.0
g01105,5.496695527733737,101.0
g01107,1.7578446335248843,693.0
g01109,0.4351565850887511,1346.0
g01111,0.5058509104736126,1303.0
g01113,1.8543564952478864,646.0
g01115,-3.670246979093297,2884.0
g01117,-5.741074249102713,3065.0
g01119,6.025837851995891,85.0
g01121,-0.3612495691446128,1799.0
g01123,1.6704679752320597,733.0
g01125,-1.7286481493251777,2406.0
g01127,0.13126949210014183,1501.0
g01129,-3.3896808402608887,2842.0
g01131,3.2577907621285385,294.0
g01133,0.30185495919743355,1418.0
g02013,-10.167367417836129,3140.0
g02016,-8.519325753309776,3133.0
g02020,-4.76269158449771,3005.0
g02050,9.828533379470075,17.0
g02060,-3.5164930180947933,2858.0
g02068,-4.407895266110305,2969.0
g02070,7.017127820958595,55.0
g02090,-5.953313212233532,3081.0
g02100,-4.402906271321959,2968.0
g02105,2.6699082452893883,402.0
g02110,-5.418295023601943,3050.0
g02122,-3.295551287224836,2820.0
g02130,-2.962425917021268,2745.0
g02150,-3.6414823697222856,2877.0
g02164,9.441223292229616,20.0
g02170,-5.585675170977424,3058.0
g02180,8.132584294704152,38.0
g02185,-0.1946655772067163,1694.0
g02188,8.682960412967015,32.0
g02195,-3.2756609217851493,2815.0
g02198,-1.5197619653398986,2336.0
g02220,-1.7292874249604218,2407.0
g02230,-4.861369536888017,3010.0
g02240,-4.07108196462905,2946.0
g02261,-4.844715486369958,3009.0
g02270,13.76967551191266,4.0
g02275,2.277667357390507,494.0
g02282,-4.6514568872143,2996.0
g02290,8.324500964538595,35.0
g04001,10.03961315254039,15.0
g04003,2.517970922309175,433.0
g04005,1.196132806287033,935.0
g04007,5.826606024913799,90.0
g04009,0.1877700938615774,1472.0
g04011,-1.232994657236385,2226.0
g04012,7.371487558076353,51.0
g04013,-0.446532909339737,1849.0
g04015,3.5138584072288537,254.0
g04017,5.846507840656757,89.0
g04019,2.2473815793804386,507.0
g04021,-0.5640677233024078,1903.0
g04023,7.551625744379145,49.0
g04025,2.8414725348840406,362.0
g04027,4.7324462636902105,133.0
g05001,0.5084128027241632,1299.0
g05003,-0.43591677321864586,1840.0
g05005,4.6981937147629695,135.0
g05007,-2.1696676215862714,2545.0
g05009,0.885467066971797,1087.0
g05011,2.042583065111053,575.0
g05013,-2.5353152753527755,2636.0
g05015,1.7979826518660262,677.0
g05017,5.067362560718529,124.0
g05019,2.641650000630113,407.0
g05021,0.6767482144831383,1202.0
g05023,1.7680326013993546,688.0
g05025,-1.7105115929502002,2397.0
g05027,1.8592805183271905,645.0
g05029,0.4275261805664462,1348.0
g05031,-0.5999248572570266,1919.0
g05033,-0.26584074557606996,1740.0
g05035,1.1897458805054102,940.0
g05037,0.6598061191818453,1216.0
g05039,0.3820732100329951,1376.0
g05041,3.2411582088620885,297.0
g05043,0.7394850670144735,1170.0
g05045,-3.2258551914839955,2808.0
g05047,1.352854327636459,869.0
g05049,3.9951823870602947,194.0
g05051,2.0711105060684405,560.0
g05053,-3.13309843743742,2789.0
g05055,-0.8669090935440676,2053.0
g05057,2.327095192473422,482.0
g05059,-0.5126614192011715,1881.0
g05061,3.1764814042123115,305.0
g05063,0.6766182905079561,1203.0
g05065,1.9339684602312321,619.0
g05067,1.6550643140723267,737.0
g05069,1.485050735297193,814.0
g05071,-0.08560956000578313,1626.0
g05073,3.8637353667462415,210.0
g05075,2.83882482511837,363.0
g05077,3.21375653754209,300.0
g05079,-3.8511379043280174,2918.0
g05081,0.830781718881784,1124.0
g05083,0.6981790609526293,1192.0
g05085,-2.3874265688294862,2598.0
g05087,-0.4039535532345959,1824.0
g05089,3.19224413193496,302.0
g05091,-0.258215641913225,1731.0
g05093,0.7552599044330963,1161.0
g05095,4.034196221834332,188.0
g05097,1.9581185590877215,605.0
g05099,1.3934492504335945,857.0
g05101,-0.02875231260722977,1590.0
g05103,2.030624622964761,579.0
g05105,-1.2499050922801627,2236.0
g05107,6.092481652912085,81.0
g05109,0.5105445421753314,1298.0
g05111,2.230130100290609,511.0
g05113,1.4229404755778212,838.0
g05115,-0.8498912938747558,2046.0
g05117,1.7160054490332826,710.0
g05119,-0.6089281625112033,1924.0
g05121,1.598749659880427,760.0
g05123,1.200597022001232,931.0
g05125,-2.9621978705757304,2744.0
g05127,0.37157198112877565,1380.0
g05129,4.646381821672353,141.0
g05131,0.2692335140255805,1433.0
g05133,2.758137611106516,382.0
g05135,3.0656340771197823,319.0
g05137,2.914073017407971,339.0
g05139,0.5872515408059531,1249.0
g05141,2.3067380861223246,487.0
g05143,-1.287443097155306,2250.0
g05145,-1.135551611480396,2173.0
g05147,3.8776645699261136,207.0
g05149,2.0676811232405643,561.0
g06001,-2.959544988155652,2743.0
g06003,-0.4355277562755435,1839.0
g06005,-0.602099859077811,1920.0
g06007,1.0669253950541897,1001.0
g06009,-0.4999960094478211,1869.0
g06011,2.6068556073560787,415.0
g06013,-3.3001495306579605,2821.0
g06015,1.7578923862214417,692.0
g06017,-3.1877137068890677,2801.0
g06019,2.678165171499684,400.0
g06021,1.6316653646158112,751.0
g06023,-0.10102813386069043,1634.0
g06025,6.749079251656316,60.0
g06027,1.9607504103036382,602.0
g06029,1.2236724322472998,920.0
g06031,-0.15640808939867323,1673.0
g06033,2.373740843919454,465.0
g06035,-5.129086127289611,3030.0
g06037,1.1904587424363533,939.0
g06039,2.8381611658139185,364.0
g06041,-5.618714396082037,3059.0
g06043,1.450268555675455,825.0
g06045,2.0558470408899217,568.0
g06047,2.8913250167246995,349.0
g06049,3.836606857561041,220.0
g06051,-1.3431590469493428,2270.0
g06053,1.8091621494139043,669.0
g06055,-0.8677650941345755,2054.0
g06057,-1.1954661027996665,2207.0
g06059,-2.87530452440958,2726.0
g06061,-3.2256738484124936,2807.0
g06063,1.6969325672299151,725.0
g06065,0.3354724865518963,1401.0
g06067,-0.014534376646007097,1584.0
g06069,-0.26392109235061123,1738.0
g06071,0.34176414080868134,1397.0
g06073,-1.7498348609386454,2413.0
g06075,-1.394149417144968,2284.0
g06077,0.5484217379466456,1277.0
g06079,-2.035138734484457,2505.0
g06081,-4.4311552764701485,2973.0
g06083,0.15324640143765844,1490.0
g06085,-6.158144123464435,3092.0
g06087,-2.4715349300777945,2622.0
g06089,0.7182252713468404,1180.0
g06091,3.084757889633094,316.0
g06093,2.3096507470031375,484.0
g06095,-1.7219972913217791,2402.0
g06097,-1.123279377398302,2168.0
g06099,1.198844726020857,932.0
g06101,1.075386991693153,996.0
g06103,1.9804300283511986,595.0
g06105,1.818102216154229,662.0
g06107,3.4734541157125385,262.0
g06109,0.8518973329812158,1109.0
g06111,-2.483310904381275,2625.0
g06113,-1.4586503992483824,2312.0
g06115,0.36713696532361884,1384.0
g08001,-1.331857104396154,2267.0
g08003,0.5072601439768555,1301.0
g08005,-2.8216065094599516,2716.0
g08007,-1.9431020340170704,2474.0
g08009,3.6446587835798843,237.0
g08011,-1.33672584268982,2268.0
g08013,-5.747991819529856,3067.0
g08014,-6.617746097519169,3107.0
g08015,-2.0849050267310725,2520.0
g08017,0.07698189539208689,1538.0
g08019,-5.759062137182478,3069.0
g08021,3.4585338255596034,264.0
g08023,5.685692417773396,94.0
g08025,-6.478663465867477,3102.0
g08027,-1.993041838159429,2488.0
g08029,-0.03688015589111482,1597.0
g08031,-0.10301395139780989,1636.0
g08033,-2.290573988699977,2571.0
g08035,-9.485154286113385,3139.0
g08037,-4.670168168674756,2997.0
g08039,-7.203418209777674,3118.0
g08041,-3.001512143646485,2756.0
g08043,-0.43323947484607506,1838.0
g08045,-3.7944300011734846,2908.0
