,spearman_r_st_fema,pvalue_st_fema,spearman_r_st_us,pvalue_st_us
g23g33g25,0.8994371482176362,3.1108525230430637e-15,0.726829268292683,1.0927414550839571e-07
g36,0.5827352622699,6.721460448047238e-07,0.7420865755080457,5.144777016665703e-12
g51,0.8892105886607067,1.154413661889564e-46,0.6718662327460443,6.314730911690822e-19
g13,0.7994208263673275,1.4333506736723366e-36,0.4963488177692859,2.8628050709330573e-11
g17,0.3616547262950167,0.0001878939201002589,0.5081283114033848,4.987705048861666e-08
g48,0.6822090449574992,3.941463490605444e-36,0.6187650921686405,3.118939881373494e-28
g29,0.8024461453483784,4.269832486503179e-27,0.9010179120965833,8.521280576888419e-43
g46,0.8464460912222108,3.5490107331678827e-19,0.5870577184010021,2.2088066864091803e-07
g06,0.6854409548125135,2.9207281456322464e-09,0.48291242425174574,0.00012335275215147505
g16,0.8184637068357997,1.1535069492874167e-11,0.6545454545454545,1.4385401974054358e-06
