,Label,Alias,Definition,Type,Domain,Missing Data Value(s),Missing Data Frequency
0,GEOID,FIPS code unique identifier,Unique code for every county and county-equivalent in USA,string,01001 - 56045,None,0.0
0,B01002_001E,median age,MEDIAN AGE BY SEX: Estimate!!Median age!!Total,float64,21.6 - 64.5,NaN,0.0
1,B03002_001E,total population of respondents to race/ethnicity,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total,int64,73 - 9974203,NaN,0.0
2,B03002_004E,total Black population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,int64,0 - 1248338,NaN,0.0
3,B03002_005E,total Native American population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,int64,0 - 60987,NaN,0.0
4,B03002_006E,total Asian population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!Asian alone,int64,0 - 1377333,NaN,0.0
5,B03002_012E,total Latinx population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Hispanic or Latino,int64,0 - 4800491,NaN,0.0
6,B06001_002E,total population under 5 years of age,PLACE OF BIRTH BY AGE IN THE UNITED STATES: Estimate!!Total!!Under 5 years,float64,0 - 644638,NaN,0.0
7,B09020_001E,total population over 65 years of age,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER: Estimate!!Total,int64,6 - 1149893,NaN,0.0
8,B01003_001E,total population,TOTAL POPULATION: Estimate!!Total,int64,73 - 9974203,NaN,0.0
9,B25008_001E,total population in occupied housing units,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE: Estimate!!Total,int64,64 - 9798502,NaN,0.0
10,B25002_002E,total occupied housing units,OCCUPANCY STATUS: Estimate!!Total!!Occupied,int64,33 - 3242391,NaN,0.0
11,B25003_003E,total renter occupied housing units,TENURE: Estimate!!Total!!Renter occupied,int64,21 - 1738476,NaN,0.0
12,B25002_001E,total housing units for which occupancy status is known,OCCUPANCY STATUS: Estimate!!Total,int64,64 - 3462075,NaN,0.0
