,Label,Alias,Definition
0,GEOID,FIPS code unique identifier,Unique code for every county and county-equivalent in USA
1,B01002_001E,median age,MEDIAN AGE BY SEX: Estimate!!Median age!!Total
2,B03002_001E,total population of respondents to race/ethnicity,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total
3,B03002_004E,total Black population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone
4,B03002_005E,total Native American population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone
5,B03002_006E,total Asian population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!Asian alone
6,B03002_012E,total Latinx population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Hispanic or Latino
7,B06001_002E,total population under 5 years of age,PLACE OF BIRTH BY AGE IN THE UNITED STATES: Estimate!!Total!!Under 5 years
8,B09020_001E,total population over 65 years of age,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER: Estimate!!Total
9,B01003_001E,total population,TOTAL POPULATION: Estimate!!Total
10,B25008_001E,total population in occupied housing units,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE: Estimate!!Total
11,B25002_002E,total occupied housing units,OCCUPANCY STATUS: Estimate!!Total!!Occupied
12,B25003_003E,total renter occupied housing units,TENURE: Estimate!!Total!!Renter occupied
13,B25002_001E,total housing units for which occupancy status is known,OCCUPANCY STATUS: Estimate!!Total
14,B09020_021E,total 65+ living in group quarters,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER: Estimate!!Total!!In group quarters
15,B01001_026E,total female population,SEX BY AGE: Estimate!!Total!!Female
16,B11001_006E,total female-headed family households,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE): Estimate!!Total!!Family households!!Other family!!Female householder, no husband present"
17,B11001_001E,total households for which household type is known,HOUSEHOLD TYPE (INCLUDING LIVING ALONE): Estimate!!Total
18,B25002_003E,total vacant housing units,OCCUPANCY STATUS: Estimate!!Total!!Vacant
19,B19025_001E,aggregate household income,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS): Estimate!!Aggregate household income in the past 12 months (in 2012 inflation-adjusted dollars)
20,B23022_025E,total males unemployed for last 12 months,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total!!Male!!Did not work in the past 12 months
21,B23022_049E,total females unemployed for last 12 months,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total!!Female!!Did not work in the past 12 months
22,B23022_001E,total population for which unemployment and sex cross-tabulations known,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total
23,B17021_002E,total population below poverty level,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT: Estimate!!Total!!Income in the past 12 months below poverty level
24,B17021_001E,total population for which poverty information available,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT: Estimate!!Total
25,B25024_010E,number of mobile home housing units in structure,UNITS IN STRUCTURE: Estimate!!Total!!Mobile home
26,B25024_001E,total housing units in structure,UNITS IN STRUCTURE: Estimate!!Total
27,C24010_038E,total female employed,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total!!Female
28,C24010_001E,total population for which sex and occupation known,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total
29,B19055_002E,total households with social security income,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Estimate!!Total!!With Social Security income
30,B19055_001E,total households for which social security income status known,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Estimate!!Total
31,B09002_002E,total children in married couple families,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: Estimate!!Total!!In married-couple families
32,B09002_001E,total children for which family type and age are known,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: Estimate!!Total
33,B19001_017E,total households with over 200k income,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS): Estimate!!Total!!$200,000 or more"
34,B06007_005E,total Spanish-speakers who speak english less than very well,"PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES: Estimate!!Total!!Speak Spanish!!Speak English less than ""very well"""
35,B06007_008E,total people who speak another language and speak English less than very well,"PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES: Estimate!!Total!!Speak other languages!!Speak English less than ""very well"""
36,B06007_001E,total population with known language spoken at home and English ability,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES: Estimate!!Total
37,B16010_002E,total population with less than a high school graduate education,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER: Estimate!!Total!!Less than high school graduate
38,B16010_001E,"total for which education, employment, language at home known",EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER: Estimate!!Total
