,B01002_001E,B03002_001E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,B06001_002E,B09020_001E,B01003_001E,B25008_001E,B25002_002E,B25003_003E,B25002_001E,B09020_021E,B01001_026E,B11001_006E,B11001_001E,B25002_003E,B19025_001E,B23022_025E,B23022_049E,B23022_001E,B17021_002E,B17021_001E,B25024_010E,B25024_001E,C24010_038E,C24010_001E,B19055_002E,B19055_001E,B09002_002E,B09002_001E,B19001_017E,B06007_005E,B06007_008E,B06007_001E,B16010_002E,B16010_001E,C24050_002E,C24050_001E,C24050_029E,B08201_002E,B08201_001E,B25064_001E,B25077_001E,GEOID
0,43.0,12668,75,18,27,196,789.0,2428,12668,12477,4873,1206,6448,142,6609,416,4873,1575,253316700,1011,1060,7598,1678,12486,539,6448,2558,5082,1915,4873,2118,2831,79,96.0,41.0,11879.0,996,8670,265,5082,808,385,4873,520,72400.0,29115
1,39.6,40330,136,378,93,698,2731.0,6933,40330,39653,15606,4638,17994,341,20853,1480,15606,2388,684449900,3029,4506,24414,8187,39661,2903,17994,7639,15891,6150,15606,6677,9287,139,257.0,284.0,37599.0,4297,26965,522,15891,2448,1182,15606,533,101100.0,29091
2,29.7,52964,2324,243,578,1687,3509.0,5666,52964,48770,19765,7379,21529,348,26138,1691,19765,1764,1107271900,2422,4550,36650,8075,48689,2117,21529,11281,22768,4687,19765,8303,10743,172,208.0,271.0,49455.0,2720,30276,463,22768,5006,897,19765,698,137100.0,29101
3,39.1,35507,234,126,198,707,2317.0,5546,35507,35160,14169,4073,15769,165,17981,1770,14169,1600,697375900,2479,3411,22309,6478,34995,3438,15769,7111,15171,4810,14169,5413,7972,186,0.0,183.0,33190.0,4595,23836,491,15171,2670,889,14169,599,92300.0,29105
4,43.1,9140,41,44,42,83,562.0,1647,9140,9044,3696,759,4590,53,4572,376,3696,894,194379300,562,775,5581,1286,9023,541,4590,1838,3937,1461,3696,1402,1925,32,25.0,42.0,8578.0,1027,6274,252,3937,663,111,3696,521,118600.0,29125
5,34.0,44825,882,292,1304,930,2564.0,6344,44825,41623,16615,6069,19562,449,21474,1707,16615,2947,876646600,3558,3757,30003,7830,41645,2171,19562,8869,19245,5238,16615,6490,8822,265,102.0,701.0,42261.0,3679,27306,276,19245,3649,1189,16615,598,110400.0,29161
6,38.5,89567,5196,353,2327,4495,5619.0,10156,89567,88722,36104,12382,39099,294,45506,3650,36104,2995,3093604200,3457,5963,60228,6498,88663,361,39099,22660,47491,8105,36104,15272,20389,2027,873.0,1589.0,83948.0,3698,60395,359,47491,6586,1524,36104,853,185600.0,29165
7,38.7,65246,3035,200,126,797,3816.0,9393,65246,57350,24615,7472,28478,773,30190,2715,24615,3863,1213964100,9155,5343,43454,10483,57130,4705,28478,12386,25108,8414,24615,8972,12121,312,105.0,185.0,61430.0,9470,45271,355,25108,5682,1656,24615,585,100000.0,29187
8,34.0,318527,155495,623,8461,11005,21438.0,35390,318527,307431,139840,76083,175855,1860,164836,26103,139840,36015,6954897600,29413,31395,222745,83505,308767,466,175855,73934,145620,35986,139840,22518,56439,2130,4142.0,9566.0,297089.0,37468,212243,450,145620,35746,29942,139840,711,121700.0,29510
9,41.9,17205,101,34,37,294,973.0,2772,17205,16956,6698,1420,7285,200,8775,446,6698,587,441771300,733,987,10902,1250,16701,772,7285,4328,8998,2201,6698,2800,3453,103,34.0,54.0,16232.0,1159,11777,276,8998,1593,282,6698,688,130300.0,29003
10,40.6,42792,2343,111,271,678,2743.0,7166,42792,41788,17067,5640,19711,481,22110,2244,17067,2644,810700200,3277,4130,26803,8546,41537,2451,19711,9236,17964,6509,17067,5285,8302,250,235.0,38.0,40049.0,6473,29332,194,17964,3531,1419,17067,566,88300.0,29023
11,41.8,9279,169,6,36,119,533.0,1759,9279,9179,3659,754,4650,56,4728,309,3659,991,221587400,494,784,5638,1193,9105,401,4650,1913,4192,1430,3659,1527,1939,46,34.0,104.0,8746.0,1028,6420,416,4192,724,183,3659,539,79700.0,29033
12,40.3,8341,33,27,5,90,593.0,1444,8341,8238,3078,703,4196,34,4186,190,3078,1118,165222800,511,698,4948,1171,8200,586,4196,1662,3530,1072,3078,1546,1864,54,12.0,181.0,7748.0,894,5534,472,3530,667,204,3078,555,107900.0,29061
13,46.1,4840,34,41,19,12,259.0,1041,4840,4723,2233,552,2807,91,2438,211,2233,574,115485300,218,244,2974,686,4682,229,2807,1127,2369,810,2233,655,840,26,0.0,15.0,4581.0,374,3564,355,2369,485,105,2233,509,78900.0,29087
14,39.3,28703,1646,118,192,396,1962.0,4558,28703,27059,11180,3396,12835,493,14894,1458,11180,1655,628013100,1843,2186,18037,4207,27205,649,12835,6628,13037,3820,11180,4180,6105,210,7.0,71.0,26741.0,3108,19184,347,13037,2525,822,11180,553,102000.0,29127
15,39.2,13857,109,1,9,85,870.0,2095,13857,13658,5224,857,6544,96,6636,390,5224,1320,304356300,752,974,8738,1357,13686,666,6544,2909,6676,1726,5224,2556,3290,29,35.0,4.0,12987.0,1164,9111,341,6676,824,211,5224,480,122000.0,29151
16,41.9,14070,49,83,24,155,843.0,2614,14070,13959,5454,1546,6599,69,7179,621,5454,1145,210104100,1140,1553,8683,3797,13961,1414,6599,2576,5269,2345,5454,1774,2670,21,32.0,29.0,13227.0,2500,9685,170,5269,1247,254,5454,536,72500.0,29181
17,39.7,32440,540,26,72,943,2226.0,4894,32440,32097,12648,2776,14696,69,16176,1136,12648,2048,796778200,1585,2392,20387,4608,32043,2189,14696,7222,15011,4546,12648,5088,7202,321,287.0,77.0,30214.0,3642,21974,292,15011,2507,671,12648,700,153100.0,29219
18,40.1,25120,524,120,58,264,1607.0,3415,25120,24056,9221,2205,10953,162,12345,1020,9221,1732,427289500,3284,2795,16302,5679,24012,3753,10953,4295,8842,3485,9221,3632,5192,91,78.0,58.0,23513.0,5069,17063,415,8842,1922,699,9221,505,75400.0,29221
19,36.7,77474,467,290,408,1965,5670.0,9657,77474,76908,29360,7531,31605,296,39662,2591,29360,2245,1936182100,3177,6396,48972,7729,76593,1688,31605,17587,36952,8386,29360,15421,19301,694,441.0,270.0,71804.0,4294,50598,244,36952,6158,859,29360,749,145000.0,29043
20,40.2,12878,1126,54,48,227,563.0,1819,12878,9557,3823,1283,4318,164,4758,256,3823,495,198533800,3574,675,9160,787,9514,569,4318,2115,4499,1368,3823,1641,1976,37,71.0,30.0,12315.0,1590,9567,184,4499,1061,335,3823,488,111300.0,29063
21,42.6,8901,63,6,14,144,669.0,1865,8901,8658,3620,933,4416,135,4443,208,3620,796,171333200,475,704,5088,1224,8705,444,4416,1742,3816,1487,3620,1525,2014,34,22.0,55.0,8232.0,886,6096,458,3816,670,188,3620,559,73000.0,29081
22,40.3,33278,865,62,43,740,2067.0,5438,33278,32538,13250,3255,14693,382,16915,1430,13250,1443,787149500,1739,2555,20835,3268,32546,1227,14693,7531,16126,4325,13250,5562,7274,80,165.0,6.0,31211.0,2923,22527,461,16126,2646,612,13250,626,119600.0,29107
23,29.1,25542,492,83,404,540,1375.0,3293,25542,22108,9597,3660,11261,206,13408,864,9597,1664,453226500,1618,2216,17902,5477,22188,864,11261,5359,11015,2877,9597,3197,4290,131,51.0,311.0,24167.0,1753,13918,322,11015,2082,884,9597,531,99300.0,29001
