,National Model,Reversals,Min,Average,Max,Range
QAGEDEP_ACS,+,0,1.0,9.52,24.0,23.0
QFEMALE_ACS,+,6,1.0,11.33,28.0,27.0
QSSBEN,+,0,1.0,10.33,21.0,20.0
QHISP_ACS,+,3,1.0,11.1,28.0,27.0
QPOVTY,+,0,1.0,9.81,27.0,26.0
QED12LES_ALT,+,2,2.0,10.38,28.0,26.0
QSERV_ALT,+,2,1.0,13.19,26.0,25.0
- PERCAP_ALT,+,2,6.0,15.57,23.0,17.0
QESL_ALT,+,4,1.0,11.43,27.0,26.0
- QFAM,+,0,1.0,11.33,28.0,27.0
QNOAUTO_ALT,+,0,1.0,12.43,28.0,27.0
- MDGRENT_ALT,+,0,8.0,16.76,27.0,19.0
QUNOCCHU_ACS,+,5,1.0,12.24,26.0,25.0
QFHH_ACS,+,4,2.0,15.14,28.0,26.0
- QRICH200K,+,4,3.0,18.81,28.0,25.0
QFEMLBR,+,5,2.0,14.05,28.0,26.0
MEDAGE_ACS,+,1,9.0,18.24,27.0,18.0
- MHSEVAL_ALT,+,2,1.0,18.14,28.0,27.0
QNRRES_ACS,+,3,2.0,13.33,27.0,25.0
QEXTRCT_ALT,+,2,1.0,17.43,28.0,27.0
QNATAM_ACS,+,8,1.0,14.81,25.0,24.0
QCVLUN,+,2,1.0,14.14,27.0,26.0
POPDENS,+,3,2.0,15.95,28.0,26.0
QASIAN_ACS,-,11,4.0,18.9,28.0,24.0
QPUNIT_ACS,+,16,2.0,17.05,28.0,26.0
PRENTER_ACS,+,6,3.0,20.19,27.0,24.0
QMOHO,+,8,2.0,17.24,28.0,26.0
BLACK_ACS,-,13,2.0,17.14,28.0,26.0
